id,segment,region,channel,product,quantity,price,revenue,discount,created_at
1,Enterprise,South,Partner,Product_02,2,27,47,7,2026-04-02
2,MidMarket,East,Retail,Product_03,3,44,118,14,2026-04-03
3,Startup,West,Web,Product_04,4,61,223,21,2026-04-04
4,SMB,Central,Partner,Product_05,5,78,362,28,2026-04-05
5,Enterprise,North,Retail,Product_06,6,95,565,5,2026-04-06
6,MidMarket,South,Web,Product_07,7,112,772,12,2026-04-07
7,Startup,East,Partner,Product_08,8,129,1013,19,2026-04-08
8,SMB,West,Retail,Product_09,9,146,1288,26,2026-04-09
9,Enterprise,Central,Web,Product_10,10,163,1627,3,2026-04-10
10,MidMarket,North,Partner,Product_11,11,180,1970,10,2026-04-11
11,Startup,South,Retail,Product_12,12,197,2347,17,2026-04-12
12,SMB,East,Web,Product_01,13,214,2758,24,2026-04-13
13,Enterprise,West,Partner,Product_02,14,231,3233,1,2026-04-14
14,MidMarket,Central,Retail,Product_03,15,248,3712,8,2026-04-15
15,Startup,North,Web,Product_04,16,25,385,15,2026-04-16
16,SMB,South,Partner,Product_05,17,42,692,22,2026-04-17
17,Enterprise,East,Retail,Product_06,18,59,1033,29,2026-04-18
18,MidMarket,West,Web,Product_07,19,76,1438,6,2026-04-19
19,Startup,Central,Partner,Product_08,20,93,1847,13,2026-04-20
20,SMB,North,Retail,Product_09,1,110,90,20,2026-04-21
21,Enterprise,South,Web,Product_10,2,127,227,27,2026-04-22
22,MidMarket,East,Partner,Product_11,3,144,428,4,2026-04-23
23,Startup,West,Retail,Product_12,4,161,633,11,2026-04-24
24,SMB,Central,Web,Product_01,5,178,872,18,2026-04-25
25,Enterprise,North,Partner,Product_02,6,195,1145,25,2026-04-26
26,MidMarket,South,Retail,Product_03,7,212,1482,2,2026-04-27
27,Startup,East,Web,Product_04,8,229,1823,9,2026-04-28
28,SMB,West,Partner,Product_05,9,246,2198,16,2026-04-01
29,Enterprise,Central,Retail,Product_06,10,23,207,23,2026-04-02
30,MidMarket,North,Web,Product_07,11,40,440,0,2026-04-03
31,Startup,South,Partner,Product_08,12,57,677,7,2026-04-04
32,SMB,East,Retail,Product_09,13,74,948,14,2026-04-05
33,Enterprise,West,Web,Product_10,14,91,1253,21,2026-04-06
34,MidMarket,Central,Partner,Product_11,15,108,1592,28,2026-04-07
35,Startup,North,Retail,Product_12,16,125,1995,5,2026-04-08
36,SMB,South,Web,Product_01,17,142,2402,12,2026-04-09
37,Enterprise,East,Partner,Product_02,18,159,2843,19,2026-04-10
38,MidMarket,West,Retail,Product_03,19,176,3318,26,2026-04-11
39,Startup,Central,Web,Product_04,20,193,3857,3,2026-04-12
40,SMB,North,Partner,Product_05,1,210,200,10,2026-04-13
41,Enterprise,South,Retail,Product_06,2,227,437,17,2026-04-14
42,MidMarket,East,Web,Product_07,3,244,708,24,2026-04-15
43,Startup,West,Partner,Product_08,4,21,83,1,2026-04-16
44,SMB,Central,Retail,Product_09,5,38,182,8,2026-04-17
45,Enterprise,North,Web,Product_10,6,55,315,15,2026-04-18
46,MidMarket,South,Partner,Product_11,7,72,482,22,2026-04-19
47,Startup,East,Retail,Product_12,8,89,683,29,2026-04-20
48,SMB,West,Web,Product_01,9,106,948,6,2026-04-21
49,Enterprise,Central,Partner,Product_02,10,123,1217,13,2026-04-22
50,MidMarket,North,Retail,Product_03,11,140,1520,20,2026-04-23
51,Startup,South,Web,Product_04,12,157,1857,27,2026-04-24
52,SMB,East,Partner,Product_05,13,174,2258,4,2026-04-25
53,Enterprise,West,Retail,Product_06,14,191,2663,11,2026-04-26
54,MidMarket,Central,Web,Product_07,15,208,3102,18,2026-04-27
55,Startup,North,Partner,Product_08,16,225,3575,25,2026-04-28
56,SMB,South,Retail,Product_09,17,242,4112,2,2026-04-01
57,Enterprise,East,Web,Product_10,18,19,333,9,2026-04-02
58,MidMarket,West,Partner,Product_11,19,36,668,16,2026-04-03
59,Startup,Central,Retail,Product_12,20,53,1037,23,2026-04-04
60,SMB,North,Web,Product_01,1,70,70,0,2026-04-05
61,Enterprise,South,Partner,Product_02,2,87,167,7,2026-04-06
62,MidMarket,East,Retail,Product_03,3,104,298,14,2026-04-07
63,Startup,West,Web,Product_04,4,121,463,21,2026-04-08
64,SMB,Central,Partner,Product_05,5,138,662,28,2026-04-09
65,Enterprise,North,Retail,Product_06,6,155,925,5,2026-04-10
66,MidMarket,South,Web,Product_07,7,172,1192,12,2026-04-11
67,Startup,East,Partner,Product_08,8,189,1493,19,2026-04-12
68,SMB,West,Retail,Product_09,9,206,1828,26,2026-04-13
69,Enterprise,Central,Web,Product_10,10,223,2227,3,2026-04-14
70,MidMarket,North,Partner,Product_11,11,240,2630,10,2026-04-15
71,Startup,South,Retail,Product_12,12,17,187,17,2026-04-16
72,SMB,East,Web,Product_01,13,34,418,24,2026-04-17
73,Enterprise,West,Partner,Product_02,14,51,713,1,2026-04-18
74,MidMarket,Central,Retail,Product_03,15,68,1012,8,2026-04-19
75,Startup,North,Web,Product_04,16,85,1345,15,2026-04-20
76,SMB,South,Partner,Product_05,17,102,1712,22,2026-04-21
77,Enterprise,East,Retail,Product_06,18,119,2113,29,2026-04-22
78,MidMarket,West,Web,Product_07,19,136,2578,6,2026-04-23
79,Startup,Central,Partner,Product_08,20,153,3047,13,2026-04-24
80,SMB,North,Retail,Product_09,1,170,150,20,2026-04-25
81,Enterprise,South,Web,Product_10,2,187,347,27,2026-04-26
82,MidMarket,East,Partner,Product_11,3,204,608,4,2026-04-27
83,Startup,West,Retail,Product_12,4,221,873,11,2026-04-28
84,SMB,Central,Web,Product_01,5,238,1172,18,2026-04-01
85,Enterprise,North,Partner,Product_02,6,15,65,25,2026-04-02
86,MidMarket,South,Retail,Product_03,7,32,222,2,2026-04-03
87,Startup,East,Web,Product_04,8,49,383,9,2026-04-04
88,SMB,West,Partner,Product_05,9,66,578,16,2026-04-05
89,Enterprise,Central,Retail,Product_06,10,83,807,23,2026-04-06
90,MidMarket,North,Web,Product_07,11,100,1100,0,2026-04-07
91,Startup,South,Partner,Product_08,12,117,1397,7,2026-04-08
92,SMB,East,Retail,Product_09,13,134,1728,14,2026-04-09
93,Enterprise,West,Web,Product_10,14,151,2093,21,2026-04-10
94,MidMarket,Central,Partner,Product_11,15,168,2492,28,2026-04-11
